iter	Passed	Remaining
0	229	229459
1	472	235965
2	660	219496
3	870	216868
4	1081	215238
5	1294	214524
6	1516	215119
7	1719	213250
8	1924	211913
9	2132	211096
10	2345	210897
11	2635	217008
12	2846	216145
13	3043	214320
14	3231	212217
15	3409	209680
16	3620	209359
17	3834	209185
18	4039	208569
19	4231	207357
20	4418	205991
21	4621	205435
22	4811	204373
23	5001	203414
24	5195	202607
25	5384	201709
26	5565	200573
27	5751	199668
28	5992	200631
29	6193	200252
30	6376	199314
31	6579	199016
32	6782	198737
33	6957	197686
34	7125	196467
35	7309	195723
36	7509	195449
37	7688	194633
38	7893	194515
39	8078	193895
40	8279	193659
41	8462	193016
42	8634	192166
43	8827	191788
44	9019	191412
45	9205	190917
46	9392	190451
47	9574	189893
48	9754	189314
49	9926	188608
50	10112	188167
51	10284	187488
52	10446	186663
53	10623	186114
54	10818	185883
55	10990	185266
56	11158	184597
57	11325	183940
58	11507	183528
59	11694	183221
60	11891	183045
61	12067	182569
62	12239	182034
63	12405	181433
64	12584	181019
65	12756	180516
66	12937	180156
67	13101	179565
68	13291	179336
69	13468	178939
70	13640	178475
71	13816	178079
72	13985	177591
73	14174	177376
74	14350	176994
75	14562	177053
76	14743	176731
77	14940	176609
78	15121	176295
79	15292	175861
80	15464	175451
81	15644	175143
82	15815	174737
83	16000	174479
84	16191	174298
85	16365	173930
86	16551	173697
87	16728	173365
88	16906	173058
89	17094	172847
90	17266	172478
91	17447	172201
92	17631	171953
93	17806	171620
94	17981	171299
95	18149	170903
96	18323	170582
97	18514	170406
98	18693	170131
99	18864	169784
100	19076	169798
